ingredient;cfp;wfp;mapping_type;mapped_item;data_origin;notes;;;
salt;0,44;;ingredient;Salt;https://livelca.com/products/salt_e6c545cd-6221-4665-a1da-a562fc37ef60;;;;
sugar;0,78;1294,5;typology;SUGAR;;;;;
butter;8,48;5659;ingredient;BUTTER*;;;;;
pepper;0,65;379;ingredient;PEPPER;;;;;
onion;0,22;290;ingredient;ONION;;;;;
flour;0,87;1849;ingredient;WHEAT FLOUR;;;;;
egg;3,2;2562;ingredient;EGGS*;;;;;
cheese;8,93;5253;ingredient;CHEESE;;;;;
milk;1,31;1260,5;ingredient;COW MILK;;;;;
water;0,49;;ingredient;MINERAL WATER*;;;;;
oil;2,11;6792;typology;OIL;;;;;
garlic;0,25;589;ingredient;GARLIC;;;;;
tomato;0,45;41;ingredient;TOMATO;;;;;
cinnamon;0,84;15526;ingredient;CINNAMON;;;;;
vanilla;4,3;;ingredient;VANILLA;;;;;
cream;5,45;3838;ingredient;CREAM;;;;;
olive oil;3,27;14415;ingredient;OLIVE OIL;;;;;
sauce;;;TOO_GENERIC;TOO_GENERIC;;;;;
baking powder;1,14;;ingredient;DOUBLE ACTING BAKING POWDER;https://apps.carboncloud.com/climatehub/product-reports/039978003928/USA;;;;
potato;0,24;555;ingredient;POTATO;;;;;
juice;2,86;1019;typology;FRUIT JUICE;;FRUIT JUICE used as proxy for generic juice;;;
carrot;0,24;195;ingredient;CARROT;;;;;
powder;;;TOO_GENERIC;TOO_GENERIC;;;;;
ginger;0,84;1657;ingredient;GINGER;;;;;
brown sugar;0,78;1294,5;typology;SUGAR;;;;;
clove;0,84;61205;ingredient;CLOVE;;;;;
nutmeg;0,84;34319;ingredient;NUTMEG;;;;;
celery;0,33;362;ingredient;CELERY;;;;;
vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
parsley;0,84;8280;typology;SPICIES;;;;;
basil;0,3;;ingredient;BASIL FRESH;https://livelca.com/products/basil-fresh_f6a4ddbe-1c2c-44e8-886e-4d5388d33bb1;;;;
chicken;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;;;
mayonnaise;1,46;572;ingredient;MAYONNAISE;;;;;
beef;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;;;
lemon;0,34;642;ingredient;LEMON;;;;;
broth;;;no_match;NO_MATCH;;;;;
rice;2,19;1597;ingredient;RICE*;;;;;
cream cheese;8,93;5253;ingredient;CHEESE;;;;;
bacon;5,99;6116;ingredient;BACON;;;;;
lemon juice;2,86;1019;typology;FRUIT JUICE;;;;;
apple;0,25;622;ingredient;APPLE;;;;;
baking soda;1,14;;ingredient;BAKING SODA;https://apps.carboncloud.com/climatehub/product-reports/039978033918/USA;;;;
bean;0,43;5053;ingredient;BEAN;;;;;
soup;;;no_match;NO_MATCH;;;;;
mustard;1,76;;ingredient;Mustard;https://livelca.com/products/mustard_7eb333ac-568e-4de9-ae04-0a4feb790282;;;;
sour cream;5,45;3838;ingredient;CREAM;;;;;
walnut;2,06;11264;ingredient;WALNUT;;;;;
spinach;0,34;292;ingredient;SPINACH;;;;;
wine;0,87;524;ingredient;WINE RED;;;;;
mushroom;2,06;;ingredient;MUSHROOM*;;;;;
margarine;1,39;1324;ingredient;MARGARINE*;;;;;
garlic clove;0,25;589;ingredient;GARLIC;;;;;
soda;;;no_match;NO_MATCH;;;;;
bread;0,86;667;ingredient;BREAD;;;;;
raisin;0,81;2636,5;ingredient;RAISIN;;;;;
olive;0,64;3015;ingredient;OLIVES;;;;;
chocolate;4,3;;ingredient;CHOCOLATE;;;;;
almond;1,88;11264;ingredient;ALMOND;;;;;
banana;0,34;748;ingredient;BANANA;;;;;
soy sauce;1,46;613;ingredient;SOY SAUCE;;;;;
honey;1,74;;ingredient;HONEY*;;;;;
oregano;0,84;8280;typology;SPICIES;;;;;
pasta;1,21;1508;ingredient;PASTA*;;;;;
extract;;;TOO_GENERIC;TOO_GENERIC;;"There is no data available for the whole category of ""extracts""; however those are usually less important ingredient in a recipe so we can deal whit this absence";;;
zucchini;0,7;336;ingredient;ZUCCHINI;;;;;
coconut;1,07;1971;ingredient;COCONUT (I);;;;;
breadcrumb;0,86;667;ingredient;BREAD;;;;;
broccoli;0,57;336;ingredient;BROCCOLI;;;;;
cornstarch;0,48;1191;ingredient;MAIZE;;;;;
vegetable oil;2,11;6792;typology;OIL;;;;;
chicken breast;3,68;3960;ingredient;CHICKEN BONE FREE MEAT;;;;;
cocoa;3,16;15618;ingredient;COCOA POWDER;;;;;
oat;0,67;1788;ingredient;OAT;;;;;
yogurt;1,69;1540;ingredient;YOGURT WHITE;;;;;
corn;0,48;1191;ingredient;MAIZE;;;;;
pecan;1,11;11264;typology;NUTS;;;;;
orange;0,3;654;ingredient;ORANGE;;;;;
pineapple;0,55;255;ingredient;PINEAPPLE (I);;;;;
buttermilk;1,44;1599;ingredient;BUTTERED MILK;;;;;
yolk;3,2;3270;ingredient;EGG YOLKS;;;;;
eggs;3,2;2562;ingredient;EGGS*;;;;;
parmesan cheese;9,59;5060;ingredient;CHEESE GRATED;;;;;
strawberry;0,61;413;ingredient;STRAWBERRY;;;;;
lettuce;0,41;237;ingredient;LETTUCE;;;;;
black pepper;0,65;379;ingredient;PEPPER;;;;;
cilantro;0,84;8280;ingredient;CORIANDER;;;;;
thyme;0,84;8280;typology;SPICIES;;;;;
yeast;0,5;;ingredient;YEAST LIQUID*;;;;;
chocolate chip;4,3;;ingredient;CHOCOLATE;;;;;
peanut butter;1,84;;ingredient;PEANUT BUTTER;;;;;
garlic powder;0,84;2265;ingredient;GARLIC POWDER;;;;;
pea;0,45;1979;ingredient;PEA;;;;;
seasoning;0,84;8280;typology;SPICIES;;;;;
cumin;0,84;8280;typology;SPICIES;;;;;
orange juice;0,46;1019;ingredient;ORANGE JUICE;;;;;
sausage;5,99;6177;ingredient;SAUSAGES;;;;;
bell pepper;0,65;379;ingredient;PEPPER;;;;;
ketchup;1,46;534;ingredient;KETCHUP;;;;;
cucumber;0,27;353;ingredient;CUCUMBER;;;;;
shrimp;7,04;1856;ingredient;PRAWNS/SHRIMPS;;;;;
chip;;;no_match;NO_MATCH;;;;;
nut;1,11;11264;typology;NUTS;;;;;
paprika;0,84;8280;typology;SPICIES;;;;;
mix;;;TOO_GENERIC;TOO_GENERIC;;"The term ""mix"" in the recipe dataset usually refers to spicies mix; however this mapping could mismatch other kind of mixes";;;
lime;0,34;642;ingredient;LIME;;;;;
cranberry;0,64;276;ingredient;CRANBERRY;;;;;
shallot;0,25;272;ingredient;SHALLOT;;;;;
ham;7,95;6177;ingredient;PORK HAM;;;;;
stock;;;no_match;NO_MATCH;;;;;
powdered sugar;0,78;1294,5;typology;SUGAR;;;;;
cheddar cheese;8,93;5253;ingredient;CHEESE;;;;;
vanilla extract;4,3;;ingredient;VANILLA;;;;;
seed;0,88;3087,5;typology;SEEDS;;;;;
green onion;0,22;290;ingredient;ONION;;;;;
coriander;0,84;8280;ingredient;CORIANDER;;;;;
paste;1,3;855;ingredient;TOMATO PASTE;;"The term ""paste"" in the recipe dataset usually refers to tomato paste, however it could mismatch some other kind of (vegetable) paste that sometimes appear.";;;
zest;2,15;748;typology;FRUIT;;;;;
lime juice;0,34;642;ingredient;LIME;;;;;
shortening;;;no_match;NO_MATCH;;;;;
blueberry;0,78;845;ingredient;BLUEBERRY;;;;;
noodle;3,15;4637;ingredient;EGG PASTA*;;;;;
avocado;0,54;1805;ingredient;AVOCADO;;;;;
cake mix;;;no_match;NO_MATCH;;;;;
pumpkin;0,24;336;ingredient;PUMPKIN;;;;;
chili;0,65;379;ingredient;PEPPER;;;;;
peach;0,39;910;ingredient;PEACH;;;;;
applesauce;0,81;6847;ingredient;APPLES;;;;;
tuna;3,68;2313,5;ingredient;TUNA;;;;;
syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
molasses;0,78;1294,5;typology;SUGAR;;;;;
cracker;1,35;1447;ingredient;PLAIN CRACKERS**;;;;;
breadcrumbs;0,86;667;ingredient;BREAD;;;;;
coffee;6,71;19928;ingredient;COFFEE BEAN;;;;;
peanut;0,83;2782;ingredient;PEANUT;;;;;
allspice;0,84;8280;typology;SPICIES;;;;;
mint;0,84;288;ingredient;PEPPERMINT;;;;;
asparagus;0,83;2150;ingredient;ASPARAGUS;;;;;
cabbage;0,31;285;ingredient;CAULIFLOWER;;;;;
squash;0,33;336;ingredient;SQUASH;;;;;
sweet potato;0,27;383;ingredient;SWEET POTATO;;;;;
rum;4,63;;ingredient;Chairmans Reserve Rum;https://apps.carboncloud.com/climatehub/product-reports/786992000456/SWE;Chairmans Reserve Rum used as proxy for every rum;;;
macaroni;;;no_match;NO_MATCH;;;;;
parmesan;9,59;5060;ingredient;CHEESE GRATED;;;;;
cardamom;0,84;34319;ingredient;CARDAMOM;;;;;
rosemary;;;no_match;NO_MATCH;;;;;
scallion;;;no_match;NO_MATCH;;;;;
cocoa powder;3,16;15618;ingredient;COCOA POWDER;;;;;
raspberry;0,64;413;ingredient;RASPBERRY;;;;;
leaf;0,54;362;ingredient;VEGETABLES;;;;;
oatmeal;0,87;2536;ingredient;OAT MEAL;;;;;
ice;0,49;;ingredient;MINERAL WATER*;;;;;
turkey;3,88;4325;ingredient;TURKEY BONE FREE MEAT;;;;;
dill;0,84;8280;typology;SPICIES;;;;;
salmon;3,37;2193;ingredient;SALMON;;;;;
cayenne pepper;0,65;379;ingredient;PEPPER;;;;;
sage;0,84;8280;typology;SPICIES;;;;;
cauliflower;0,31;285;ingredient;CAULIFLOWER;;;;;
sesame oil;2,11;21793;ingredient;SESAM OIL;;;;;
eggplant;0,19;362;ingredient;EGGPLANT;;;;;
apricot;0,3;1287;ingredient;APRICOT;;;;;
tortilla;;;no_match;NO_MATCH;;;;;
jalapeno;0,65;379;ingredient;PEPPER;;;;;
pork;3,44;4361;ingredient;PORK MEAT WITH BONE*;;;;;
all-purpose flour;0,87;1849;ingredient;WHEAT FLOUR;;;;;
dressing;1,46;572;typology;DRESSING;;;;;
spaghetti;1,21;1508;ingredient;PASTA*;;;;;
chicken broth;;;no_match;NO_MATCH;;;;;
half-and-half;;;no_match;NO_MATCH;;;;;
chicken stock;2,82;3330;ingredient;CHICKEN MEAT WITH BONE;;;;;
mozzarella cheese;8,2;5253;ingredient;MOZZARELLA;;;;;
tomato paste;1,3;855;ingredient;TOMATO PASTE;;;;;
pear;0,27;922;ingredient;PEAR;;;;;
mango;0,31;1855;ingredient;MANGO;;;;;
gingerroot;0,84;1657;ingredient;GINGER;;;;;
chive;0,84;8280;typology;SPICIES;;;;;
flake;2,64;1977;ingredient;BARLEY FLAKES;;;;;
bay leaf;;;no_match;NO_MATCH;;;;;
cottage cheese;8,93;5253;ingredient;CHEESE;;;;;
vegetable;0,54;362;ingredient;VEGETABLES;;;;;
cherry;0,46;1506,5;ingredient;CHERRY;;;;;
cayenne;0,84;8280;typology;SPICIES;;;;;
gelatin;1,74;;ingredient;G�latine, s�che;https://agribalyse.ademe.fr/app/aliments?search=G%C3%A9latine;G�latine, s�che used as proxy for every jelly;;;
ice cream;4,3;1599;typology;ICE CREAM;;;;;
chips;;;no_match;NO_MATCH;;;;;
mozzarella;8,2;5253;ingredient;MOZZARELLA;;;;;
date;0,81;2636,5;ingredient;DATE;;;;;
almond extract;1,88;11264;ingredient;ALMOND;;;;;
beans;0,43;5053;ingredient;BEAN;;;;;
whipping cream;5,45;3838;ingredient;CREAM;;;;;
tofu;2,27;1724;ingredient;TOFU;;;;;
lentil;0,52;5874;ingredient;LENTIL;;;;;
Worcestershire sauce;6,7;;ingredient;Worcestershire sauce dunk;https://apps.carboncloud.com/climatehub/product-reports/id/2575458351365;;;;
crust;1,35;1423,3;typology;CRISPBREAD;;;;;
green pepper;0,65;379;ingredient;PEPPER;;;;;
beer;0,69;155;ingredient;BEER*;;;;;
salsa;1,19;151,3;typology;TOMATO SAUCE;;;;;
turmeric;0,84;8280;typology;SPICIES;;;;;
red pepper;0,65;379;ingredient;PEPPER;;;;;
feta cheese;9,59;5253;ingredient;GOAT CHEESE;;;;;
cinnamon stick;0,84;15526;ingredient;CINNAMON;;;;;
onion powder;0,22;290;ingredient;ONION;;;;;
pudding;2,45;;ingredient;Pudding;https://apps.carboncloud.com/climatehub/product-reports/id/2262898845690;Pudding used as proxy for every pudding;;;
white sugar;0,78;1294,5;typology;SUGAR;;;;;
cornmeal;0,87;1889,5;ingredient;MAIZE FLOUR;;;;;
artichoke;0,33;818;ingredient;ARTICHOKE;;;;;
heavy cream;5,45;3838;ingredient;CREAM;;;;;
horseradish;0,33;750;typology;VEGETABLES OPENFIELD;;;;;
chickpea;0,52;4177;ingredient;CHICKPEA;;;;;
sesame seed;0,88;9371;ingredient;SESAM SEED;;;;;
evaporated milk;1,44;1599;typology;ANIMAL MILK;;;;;
coconut milk;0,54;2030;ingredient;COCONUT MILK;;;;;
grape;0,31;608;ingredient;GRAPES;;;;;
white;1,69;1540;ingredient;YOGURT WHITE;;;;;
tomato sauce;1,19;151,3;typology;TOMATO SAUCE;;;;;
ground cinnamon;0,84;15526;ingredient;CINNAMON;;;;;
liqueur;3,39;;ingredient;Liquer;https://livelca.com/products/liquer_57a03a36-b224-4cfc-89a1-8dcaae696e75;;;;
steak;17,96;10943;ingredient;BEEF MEAT WITH BONE*;;;;;
granulated sugar;0,94;865;ingredient;BEET SUGAR;;;;;
large egg;3,2;2562;ingredient;EGGS*;;;;;
green bean;0,52;555,5;ingredient;GREEN BEAN (fresh);;;;;
jam;1,89;;ingredient;Jam;https://livelca.com/products/jam_3c8262e5-0d2e-4973-a039-ffcb35172cb9;Jam used as proxy for every  kind of jam, or preserved;;;
curry powder;0,84;8280;typology;SPICIES;;;;;
rind;;;no_match;NO_MATCH;;;;;
oats;0,67;1788;ingredient;OAT;;;;;
cheddar;11,21;5253;ingredient;CEDDAR;;;;;
orange zest;0,3;654;ingredient;ORANGE;;;;;
spray;;;TOO_GENERIC;TOO_GENERIC;;;;;
spice;0,84;8280;typology;SPICIES;;;;;
linguine;1,21;1508;ingredient;PASTA*;;;;;
bouillon;1,75;;ingredient;Vegetable Bouillon, cubes;https://apps.carboncloud.com/climatehub/product-reports/id/164865146932;;;;
chili powder;0,65;379;ingredient;PEPPER;;;;;
ricotta;5,45;2470,5;ingredient;RICOTTA;;;;;
canola oil;5,44;;ingredient;COOKING OIL CANOLA;https://apps.carboncloud.com/climatehub/product-reports/758940527261/USA;;;;
peel;2,15;748;typology;FRUIT;;;;;
red onion;0,22;290;ingredient;ONION;;;;;
pineapple juice;2,86;1273;ingredient;PINEAPPLE JUICE (I);;;;;
marshmallow;;;no_match;NO_MATCH;;;;;
lemon zest;0,34;642;ingredient;LEMON;;;;;
peas;0,45;1979;ingredient;PEA;;;;;
cereal;0,57;1639;ingredient;WHEAT;;;;;
pork chop;3,44;5798;ingredient;PORK CUTS WITH BONE;;;;;
topping;;;no_match;NO_MATCH;;;;;
leek;1,18;336;typology;VEGETABLES;;;;;
flakes;2,64;2196,5;typology;BREAKFAST CEREALS;;;;;
peppercorn;0,65;379;ingredient;PEPPER;;;;;
vodka;2,04;;ingredient;Vodka;https://livelca.com/products/vodka_ebf808cc-3bd7-4200-8c1a-a70f7a9b700d;Vodka used as proxy for every kind of vodka;;;
saffron;0,84;731000;ingredient;SAFFRON;;;;;
fruit;2,15;748;typology;FRUIT;;;;;
biscuit;1,47;1870,3;typology;BISCUITS;;;;;
bread flour;0,87;1889,5;typology;GRAIN FLOUR;;;;;
white wine;0,66;524;typology;WINE;;;;;
soup mix;;;no_match;NO_MATCH;;;;;
roll;;;no_match;NO_MATCH;;;;;
bun;0,86;901,8;typology;BREAD;;;;;
red wine vinegar;1,93;;ingredient;Vinegar;https://livelca.com/products/vinegar_e8dd5701-9817-479d-8178-8e01b8dc0026;;;;
corn syrup;0,93;;ingredient;Syrup;https://livelca.com/products/syrup_6929f55c-b391-4961-b016-730f8e7ec77c;Syrup used as proxy for every syrup, this could understimate value of specific ultraprocessed syrups;;;
